,id,Degree,In-degree,Out-degree,Weighted degree,Weighted in-degree,Weighted out-degree,Clustering coefficient,Pagerank,Degree centrality,In-degree centrality,Out-degree centrality,Betweenness centrality,Clossness centrality,Eigenvector centrality,Katz centrality,Harmonic centrality,Load centrality,Mean shortest path length,Max shortest path length
89,67; Joan Rebull 1,3,1,2,12.0,6.0,6.0,0.0,0.009011357148800074,0.014778325123152709,0.0049261083743842365,0.009852216748768473,0.19378464940090065,0.06377631165567076,0.08976835305025398,0.06874311451689484,18.1867754880565,0.19413012729844414,12.75,30
90,66; Joan Rebull 2,3,2,1,12.0,6.0,6.0,0.0,0.008650050250416756,0.014778325123152709,0.009852216748768473,0.0049261083743842365,0.07924450080476028,0.07976424361493124,0.17697148326512965,0.0772019470022527,23.42329374328171,0.07924450080476028,17.62,38
91,69; Jutjats 1,4,3,1,8.0,4.0,4.0,0.0,0.009160121008411664,0.019704433497536946,0.014778325123152709,0.0049261083743842365,0.14616966622770652,0.07085514834205933,0.05634884571854122,0.08168669325204243,21.739704145351162,0.14857581817295032,14.94,35
92,68; Jutjats 2,4,1,3,6.0,3.0,3.0,0.0,0.0047142963479622465,0.019704433497536946,0.0049261083743842365,0.014778325123152709,0.13592726267700658,0.06265432098765432,0.06257584871198185,0.06949029964613843,17.50718368152711,0.1383334146222504,13.54,36
93,70; La Salle 1,2,1,1,8.0,4.0,4.0,0.0,0.00939056288625813,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.18832609861971422,0.061107766405779654,0.011231453815830208,0.06881523464701005,18.05871654017591,0.1857472077256987,16.84,37
94,71; La Salle 2,2,1,1,6.0,3.0,3.0,0.0,0.004725520564597704,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.09502267960786227,0.05745825077837532,0.028100702136202756,0.06805976801480097,15.207637482735478,0.09502267960786227,14.24,36
95,200; La Vitxeta,5,2,3,6.0,3.0,3.0,0.1,0.00533494834897862,0.024630541871921183,0.009852216748768473,0.014778325123152709,0.12963550049586237,0.06855791962174941,0.05644823835090321,0.07500192776216177,20.046791861842895,0.1320416524411062,13.39,33
96,72; Llibertat,2,1,1,12.0,6.0,6.0,0.0,0.007658610077917866,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.07547675949860996,0.0660377358490566,0.07761871253357584,0.06806808014462655,17.607231280268316,0.07547675949860996,15.02,36
97,73; Mare Molas 1,2,1,1,2.0,1.0,1.0,0.0,0.004330154972095245,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.06213724820757938,0.031134969325153375,5.023804040257382e-05,0.06805968838496476,9.158545062706674,0.06213724820757938,24.45,42
98,74; Mare Molas 2,2,1,1,6.0,3.0,3.0,0.0,0.0043549566179058525,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.12239265798501034,0.044488275257506024,0.003056021593499215,0.06805968838496476,12.264284120396882,0.1222199190362386,13.59,30
